id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,distancia_ao_radar_mais_proximo,proximo_ao_radar
552711,2023-10-04,quarta-feira,02:25:00,MG,381.0,492,BETIM,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,2,0,0,0,2,1,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
553302,2023-10-06,sexta-feira,23:00:00,MG,381.0,492,BETIM,Condutor deixou de manter distância do veículo da frente,Engavetamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,1,0,3,0,1,3,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
553370,2023-09-01,sexta-feira,22:10:00,MG,381.0,485,BETIM,Acumulo de óleo sobre o pavimento,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-19.95659361,-44.12622893,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,4.28087403311054,True
553762,2023-10-08,domingo,23:30:00,MG,381.0,490,BETIM,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,1,0,0,0,0,1,0,1,-19.95562097,-44.14551258,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.926043559925682,True
553940,2023-10-09,segunda-feira,18:00:00,MG,381.0,481,CONTAGEM,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,2,0,1,1,2,4,-19.95931561,-44.08825597,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.3005554822458707,True
553989,2023-10-09,segunda-feira,21:10:00,SP,381.0,88,GUARULHOS,Ausência de reação do condutor,Engavetamento,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Dupla,Reta,Sim,3,0,1,0,2,0,1,3,-23.47469314,-46.56112919,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,8.296267291632919,False
554307,2023-10-11,quarta-feira,15:00:00,MG,381.0,485,BETIM,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Aclive                   ,Sim,1,0,1,0,0,0,1,1,-19.95659361,-44.12622893,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,4.28087403311054,True
554877,2023-10-14,sábado,08:30:00,SP,381.0,86,SAO PAULO,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Não,3,0,2,0,1,0,2,2,-23.45930499,-46.57161179,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,6.461244839771932,False
556119,2023-10-20,sexta-feira,14:20:00,MG,381.0,485,BETIM,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Curva,Sim,2,0,1,0,0,1,1,1,-19.9551526,-44.0973666,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,1.341692100510414,True
556122,2023-10-20,sexta-feira,15:00:00,MG,381.0,486,BETIM,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Sim,2,0,1,0,0,1,1,2,-19.9557335,-44.1105421,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.6621475898385136,True
556491,2023-10-22,domingo,08:10:00,MG,381.0,484,BETIM,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Curva;Interseção de Vias;Decli,Sim,2,0,2,0,0,0,2,1,-19.95531717,-44.11722196,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.359542923777554,True
556594,2023-10-22,domingo,19:15:00,MG,381.0,492,BETIM,Afundamento ou ondulação no pavimento,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,1,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
556737,2023-10-23,segunda-feira,10:20:00,SP,381.0,87,SAO PAULO,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-23.46885001,-46.56996601,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,7.532224856795478,False
557439,2023-10-27,sexta-feira,05:20:00,MG,381.0,492,BETIM,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
558153,2023-10-30,segunda-feira,15:00:00,MG,381.0,492,BETIM,Ausência de reação do condutor,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,1,0,0,2,1,3,-19.97490091,-44.19004301,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,2.2276468084255825,True
559511,2023-11-06,segunda-feira,12:30:00,MG,381.0,486,BETIM,Reação tardia ou ineficiente do condutor,Colisão com objeto,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta;Declive                  ,Sim,1,0,0,0,1,0,0,1,-19.95531717,-44.11722196,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.359542923777554,True
559679,2023-11-07,terça-feira,09:15:00,MG,381.0,486,BETIM,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta;Declive                  ,Sim,2,0,1,0,1,0,1,2,-19.95644414,-44.13611598,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.844321956464559,True
559856,2023-11-08,quarta-feira,08:00:00,MG,381.0,481,CONTAGEM,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-19.95931561,-44.08825597,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,0.3005554822458707,True
560514,2023-11-11,sábado,08:15:00,SP,381.0,89,GUARULHOS,Acumulo de areia ou detritos sobre o pavimento,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Sim,1,0,1,0,0,0,1,1,-23.48469299,-46.55983288,SPRF-SP,DEL03-SP,UOP01-DEL03-SP,9.41393775623299,False
562052,2023-11-18,sábado,13:45:00,MG,381.0,481,BETIM,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,1,0,2,0,1,2,-19.955532,-44.097209,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,1.3115934252966113,True
562802,2023-11-21,terça-feira,23:00:00,MG,381.0,490,BETIM,Ingestão de álcool ou de substâncias psicoativas pelo pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,2,0,0,0,2,2,-19.95654,-44.14243,SPRF-MG,DEL01-MG,UOP03-DEL01-MG,3.2025368907651375,True
